domain,component,mean,std,ci95_low,ci95_high
astronomy,compressibility,0.5885840732167132,1.1130090340862554e-16,0.5885840732167131,0.5885840732167131
astronomy,coherence,1.0,0.0,1.0,1.0
astronomy,symmetry,0.7983730290247155,0.0,0.7983730290247155,0.7983730290247155
astronomy,generativity,0.30857142857142855,0.17389939885744937,0.0,0.7142857142857143
physics,compressibility,0.6127453652592777,1.1130090340862554e-16,0.6127453652592778,0.6127453652592778
physics,coherence,1.0,0.0,1.0,1.0
physics,symmetry,0.5686451010023299,1.1130090340862554e-16,0.5686451010023298,0.5686451010023298
physics,generativity,0.40944444444444444,0.1631691460843179,0.1111111111111111,0.7777777777777778
materials,compressibility,0.5789302782182691,1.1130090340862554e-16,0.578930278218269,0.578930278218269
materials,coherence,0.9905660377358493,2.2260180681725107e-16,0.9905660377358491,0.9905660377358491
materials,symmetry,0.636307100272732,0.0,0.636307100272732,0.636307100272732
materials,generativity,0.3475,0.13410320034103787,0.1,0.6025000000000006
wikidata_physics,compressibility,0.28960077333586937,5.565045170431277e-17,0.2896007733358694,0.2896007733358694
wikidata_physics,coherence,0.8902562877972714,0.0,0.8902562877972714,0.8902562877972714
wikidata_physics,symmetry,0.6435598476092927,0.0,0.6435598476092927,0.6435598476092927
wikidata_physics,generativity,0.2574382716049383,0.038575674398678234,0.1728395061728395,0.33348765432098765
wikidata_materials,compressibility,0.3088332407589398,0.0,0.3088332407589398,0.3088332407589398
wikidata_materials,coherence,0.9138104838709679,1.1130090340862554e-16,0.9138104838709677,0.9138104838709677
wikidata_materials,symmetry,0.654820395837243,1.1130090340862554e-16,0.6548203958372432,0.6548203958372432
wikidata_materials,generativity,0.3054968944099379,0.03858122592254,0.2360248447204969,0.37888198757763975
